"report_id","date_time","police_beat","address_number_primary","address_pd_primary","address_road_primary","address_sfx_primary","address_pd_intersecting","address_name_intersecting","address_sfx_intersecting","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"180464","2018-01-02 15:00:00","618","1200"," ","SUNSET CLIFFS","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"180367","2018-01-02 15:45:00","813","4000"," ","30TH","STREET"," "," "," ","21950A","VC","YIELD RIGHT OF WAY TO PEDESTRIANS","1","0",""
"180305","2018-01-02 16:35:00","232","11300"," ","CARMEL MTN","ROAD"," "," "," ","21806A","VC","YIELD RIGHT OF WAY TO EMERGENCY VEHICLE","0","0",""
"181296","2018-01-02 17:15:00","451","2800"," ","54TH","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0","FELONY"
"180342","2018-01-02 18:02:00","611","3100"," ","SPORTS ARENA","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"180307","2018-01-02 18:10:00","115","4300"," ","EASTGATE","MALL"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"180312","2018-01-02 18:53:00","813","3900"," ","UTAH","STREET"," "," "," ","21950A","VC","YIELD RIGHT OF WAY TO PEDESTRIANS","1","0",""
"180996","2018-01-02 19:40:00","233","9700"," ","CAMINITO CUADRO"," "," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"180354","2018-01-03 01:00:00","234","12100"," ","RANCHO BERNARDO","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180300","2018-01-03 01:00:00","518","3100"," ","ASH","STREET"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"180361","2018-01-03 06:00:00","827","3700"," ","SHILOH","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180494","2018-01-03 06:19:00","524","600"," ","A","STREET"," "," "," ","21801A","VC","LEFT TURN YIELD UNTIL SAFE OR U-TURN","1","0",""
"190197","2018-01-03 06:26:00","243","9300"," ","MIRAMAR","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"180363","2018-01-03 07:45:00","242","8800"," ","MIRA MESA","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"180370","2018-01-03 12:37:00","821","6800"," ","EL CAJON","BOULEVARD"," "," "," ","21650.1","VC","BICYCLE DRIVING ON WRONG SIDE OF ROAD","1","0",""
"180552","2018-01-03 13:24:00","813","0"," ","HAMILTON","STREET"," ","LINCOLN","AVENUE","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","2","0",""
"180350","2018-01-03 13:36:00","311","9800"," ","AERO","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180338","2018-01-03 15:29:00","932","11300"," ","SORRENTO VALLEY","ROAD"," "," "," ","21804","VC","ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY","1","0",""
"181105","2018-01-03 16:00:00","627","600"," ","PENNSYLVANIA","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"180505","2018-01-03 16:15:00","327","7200"," ","MOHAWK","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180349","2018-01-03 17:00:00","122","0"," ","UNKNOWN"," "," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180478","2018-01-03 18:00:00","112","5300"," ","BALBOA","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180433","2018-01-03 18:26:00","122","1200"," ","GARNET","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"180442","2018-01-03 20:18:00","325","7700"," ","JACKSON","DRIVE"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","0","0",""
"180340","2018-01-03 21:54:00","935","2800"," ","VIA DE LA VALLE"," "," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"180357","2018-01-04 05:33:00","311","8600"," ","GLENHAVEN","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0","FELONY"
"180384","2018-01-04 06:54:00","111","6100"," ","BALBOA","AVENUE"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"190421","2018-01-04 07:00:00","311","8500"," ","AERO","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180369","2018-01-04 09:00:00","826","4200"," ","49TH","STREET"," "," "," ","26451A","VC","PARKING BRAKE SYSTEM","0","0",""
"181888","2018-01-04 11:28:00","511","1300","S","28TH","STREET"," "," "," ","20002(A)","VC","HIT AND RUN","0","0","MISDEMEANOR"
"180466","2018-01-04 11:54:00","527","800","W","GRAPE","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","2","0",""
"180497","2018-01-04 12:00:00","321","10300"," ","FRIARS","ROAD"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","2","0",""
"180432","2018-01-04 12:04:00","233","8900"," ","TWIN TRAILS","DRIVE"," "," "," ","21801A","VC","LEFT TURN YIELD UNTIL SAFE OR U-TURN","1","0",""
"180337","2018-01-04 16:35:00","935","6200"," ","CARMEL VALLEY","ROAD"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"180479","2018-01-04 16:40:00","111","7600"," ","LINDA VISTA","ROAD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"180394","2018-01-04 16:50:00","432","5400"," ","IMPERIAL","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180358","2018-01-04 17:19:00","122","1400"," ","GARNET","AVENUE"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0","MISDEMEANOR"
"181009","2018-01-04 17:33:00","433","0"," ","BROOKLYN","AVENUE"," ","STORK","STREET","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"180452","2018-01-04 17:40:00","613","3700"," ","VOLTAIRE","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180365","2018-01-04 19:09:00","826","4200"," ","50TH","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"180832","2018-01-04 20:00:00","124","8000"," ","GIRARD","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"190486","2018-01-04 21:05:00","524","1300"," ","10TH","AVENUE"," "," "," ","23123(A)","VC","USE OF CELL PHONE W/O HANDS FREE DEVICE WHILE DRIVING","1","0",""
"180359","2018-01-04 22:20:00","821","4600"," ","SEMINOLE","DRIVE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"180525","2018-01-05 00:01:00","712","4000"," ","BEYER","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180488","2018-01-05 00:01:00","122","1000"," ","WEST BRIARFIELD","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"180424","2018-01-05 08:21:00","322","6600"," ","MISSION GORGE","ROAD"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
